,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
NASS Code,Facility Name,District,Facility Type,BMEU,Dropsite Key,Address,City,State,ZIP Code,Name,Phone,E-Mail,After Hours Number,Active in FAST
826,CASPER,800-CO-WY,Plant,Yes,EW1B333,411 N FOREST DR,CASPER,WY,826099997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
820,CHEYENNE,800-CO-WY,Plant,Yes,EW1B336,4800 CONVERSE AVE,CHEYENNE,WY,820099997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
808,COLORADO SPRINGS,800-CO-WY,Plant,Yes,EZ17854,3655 E FOUNTAIN BLVD,COLORADO SPRINGS,CO,809103733,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
800,DENVER,800-CO-WY,Plant,Yes,EZ17853,7540 E 53RD PL,DENVER,CO,802660001,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
815,GRAND JUNCTION,800-CO-WY,Plant,Yes,EZ11455,602 BURKEY ST,GRAND JUNCTION,CO,815051148,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
870,ALBUQUERQUE,852-AZ-NM,Plant,Yes,EZ13503,1135 BROADWAY BLVD NE,ALBUQUERQUE,NM,871010002,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
852,PHOENIX,852-AZ-NM,Plant,Yes,EZ10745,4949 E VAN BUREN ST,PHOENIX,AZ,850269672,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
894,RENO,890-NV-UT,Plant,Yes,EZ14577,2000 VASSAR ST,RENO,NV,895109991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
840,SALT LAKE CITY,890-NV-UT,Plant,Yes,EZ16257,1760 W 2100 S,SALT LAKE CITY,UT,841999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
900,LOS ANGELES,900-CALIFORNIA 5,Plant,Yes,EZ24121,7001 S CENTRAL AVE,LOS ANGELES,CA,900529998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
90ISC,LOS ANGELES CA ISC,900-CALIFORNIA 5,Plant,Yes,E019064,1 YEAGER WAY,BELL GARDENS,CA,902059998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
936,FRESNO,913-CALIFORNIA 3,Plant,Yes,EZ21209,1900 E ST,FRESNO,CA,937068000,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
931,SANTA BARBARA,913-CALIFORNIA 3,Plant,Yes,EZ23973,400 STORKE RD,GOLETA,CA,931999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
913,SANTA CLARITA,913-CALIFORNIA 3,Plant,Yes,EZ23707,28201 FRANKLIN PKWY,SANTA CLARITA,CA,913839997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
923,SAN BERNARDINO,920-CALIFORNIA 6,Plant,Yes,EZ22788,1900 W REDLANDS BLVD,SAN BERNARDINO,CA,924039996,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
928,ANAHEIM,926-CALIFORNIA 4,Plant,Yes,EZ24277,5335 E LA PALMA AVE,ANAHEIM,CA,928999998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
917,INDUSTRY,926-CALIFORNIA 4,Plant,Yes,EZ24135,15421 E GALE AVE,CITY OF INDUSTRY,CA,917159998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
926,SANTA ANA,926-CALIFORNIA 4,Plant,Yes,EZ22855,3101 W SUNFLOWER AVE,SANTA ANA,CA,927990101,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
955,EUREKA CA LPC,940-CALIFORNIA 1,Plant,Yes,EZ21071,337 W CLARK ST,EUREKA,CA,955019994,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
960,REDDING,940-CALIFORNIA 1,Plant,Yes,EZ22632,2323 CHURN CREEK RD,REDDING,CA,960029997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
940,SAN FRANCISCO,940-CALIFORNIA 1,Plant,Yes,EZ22801,1300 EVANS AVE STE 300P,SAN FRANCISCO,CA,941888025,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
950,SAN JOSE,940-CALIFORNIA 1,Plant,Yes,EZ22813,1750 LUNDY AVE,SAN JOSE,CA,951019998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
945,OAKLAND,956-CALIFORNIA 2,Plant,Yes,EZ22295,1675 7TH ST,OAKLAND,CA,946150001,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
956,SACRAMENTO,956-CALIFORNIA 2,Plant,Yes,EZ22760,3775 INDUSTRIAL BLVD RM 4040,WEST SACRAMENTO,CA,957990199,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
967,HONOLULU,967-HAWAII,Plant,Yes,EZ12185,3600 AOLELE ST RM 208E,HONOLULU,HI,968209500,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
590,BILLINGS,970-ID-MT-OR,Plant,Yes,EZ13044,841 S 26TH ST,BILLINGS,MT,591019998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
836,BOISE ID RPDC,970-ID-MT-OR,NDC,Yes,KZ12429,2201 S COLE RD,BOISE,ID,837089997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
594,GREAT FALLS,970-ID-MT-OR,Plant,Yes,EZ13197,1409 14TH ST SW,GREAT FALLS,MT,594049991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
598,MISSOULA,970-ID-MT-OR,Plant,Yes,EZ13303,1100 W KENT AVE,MISSOULA,MT,598019952,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
972,PORTLAND OR RPDC,970-ID-MT-OR,NDC,Yes,K018733,7007 NE CORNFOOT RD,PORTLAND,OR,972189997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
