,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
NASS Code,Facility Name,District,Facility Type,BMEU,Dropsite Key,Address,City,State,ZIP Code,Name,Phone,E-Mail,After Hours Number,Active in FAST
294,CHARLESTON,290-SOUTH CAROLINA,Plant,Yes,EX29536,7075 CROSS COUNTY RD,NORTH CHARLESTON,SC,294189996,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
290,COLUMBIA,290-SOUTH CAROLINA,Plant,Yes,EX23726,2001 DIXIANA RD,COLUMBIA,SC,292929990,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
296,GREENVILLE,290-SOUTH CAROLINA,Plant,Yes,E004291,204 FAIRFOREST WAY,GREENVILLE,SC,296074609,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
302RP,ATLANTA GA RPDC,300-GEORGIA,NDC,Yes,K020303,600 PALMETTO LOGISTICS PKWY,PALMETTO,GA,302689991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
308,AUGUSTA GA LPC,300-GEORGIA,Plant,Yes,EX10064,525 8TH ST,AUGUSTA,GA,309019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
300,DULUTH GA LPC,300-GEORGIA,Plant,Yes,EX10915,1605 BOGGS RD,DULUTH,GA,300961876,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
327,MID FLORIDA,320-FLORIDA 1,Plant,Yes,EY22406,800 RINEHART RD,MID FLORIDA,FL,327998805,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
325,PENSACOLA,320-FLORIDA 1,Plant,Yes,EY22687,1400 W JORDAN ST,PENSACOLA,FL,325019996,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
323,TALLAHASSEE,320-FLORIDA 1,Plant,Yes,EY23072,2800 S ADAMS ST,TALLAHASSEE,FL,323019996,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
331,MIAMI,330-FLORIDA 3,Plant,Yes,EY22387,2200 NW 72ND AVE STE 200,MIAMI,FL,331529997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
334,WEST PALM BEACH,330-FLORIDA 3,Plant,Yes,EY23233,3200 SUMMIT BLVD,WEST PALM BEACH,FL,334163524,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
339,FORT MYERS,335-FLORIDA 2,Plant,Yes,EY21885,14080 JETPORT LOOP RM B-111,FORT MYERS,FL,339139997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
342,MANASOTA,335-FLORIDA 2,Plant,Yes,EY22324,850 TALLEVAST RD,SARASOTA,FL,342605000,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
328PM,SEMINOLE,335-FLORIDA 2,Plant,Yes,E021347,2036 E LANDSTREET RD,ORLANDO,FL,328247952,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,No
335,TAMPA,335-FLORIDA 2,Plant,Yes,EY23078,3501 BESSIE COLEMAN BLVD FL 2,TAMPA,FL,336305012,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
350,BIRMINGHAM,350-AL-MS,Plant,Yes,EY10113,351 24TH ST N RM 210,BIRMINGHAM,AL,352039811,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
395,GULFPORT,350-AL-MS,Plant,Yes,EY13699,10285 CORPORATE DR,GULFPORT,MS,395039997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
390,JACKSON,350-AL-MS,Plant,Yes,EY13800,401 E SOUTH ST,JACKSON,MS,392019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
