,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
NASS Code,Facility Name,District,Facility Type,BMEU,Dropsite Key,Address,City,State,ZIP Code,Name,Phone,E-Mail,After Hours Number,Active in FAST
250,CHARLESTON,400-KY-WV,Plant,Yes,EX28291,1000 CENTRE WAY,SOUTH CHARLESTON,WV,253099426,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
403,LEXINGTON,400-KY-WV,Plant,Yes,EX15573,1088 NANDINO BLVD,LEXINGTON,KY,405119995,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
SDF,LOUISVILLE AMF,400-KY-WV,Plant,Yes,AX1C359,4440 CRITTENDEN DR,LOUISVILLE,KY,402219990,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Pending
440,CLEVELAND,440-OHIO 1,Plant,Yes,EX20577,2400 ORANGE AVE RM 30,CLEVELAND,OH,441019701,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
45Z,CINCINNATI NDC,450-OHIO 2,NDC,Yes,KX20548,3055 CRESCENTVILLE RD,CINCINNATI,OH,452359998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
430,COLUMBUS,450-OHIO 2,Plant,Yes,EX20642,2323 CITYGATE DR,COLUMBUS,OH,432189997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
467,FORT WAYNE,460-INDIANA,Plant,Yes,EX12224,1501 S CLINTON ST,FORT WAYNE,IN,468029997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
473,MUNCIE,460-INDIANA,Plant,Yes,EX13027,4300 S COWAN RD,MUNCIE,IN,473029997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
465,SOUTH BEND,460-INDIANA,Plant,Yes,EX13618,424 S MICHIGAN ST,SOUTH BEND,IN,466019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
